"","ci_n_avg_lows_rade","ci_n_avg_ups_rade","ci_h_avg_lows_rade","ci_h_avg_ups_rade","ci_c_avg_lows_rade","ci_c_avg_ups_rade","cs_avg_lows_rade","cs_avg_ups_rade","ci_n_avg_size_rade","ci_h_avg_size_rade","ci_c_avg_size_rade","cs_avg_size_rade","ci_n_miscov_rade","ci_h_miscov_rade","ci_c_miscov_rade","cs_miscov_rade","ci_n_avg_lows_unif","ci_n_avg_ups_unif","ci_h_avg_lows_unif","ci_h_avg_ups_unif","ci_c_avg_lows_unif","ci_c_avg_ups_unif","cs_avg_lows_unif","cs_avg_ups_unif","ci_n_avg_size_unif","ci_h_avg_size_unif","ci_c_avg_size_unif","cs_avg_size_unif","ci_n_miscov_unif","ci_h_miscov_unif","ci_c_miscov_unif","cs_miscov_unif"
"11",-0.158419121921594,0.155073667376139,-0.118364478822658,0.115019024277204,-0.0304052633682876,0.0270598088228331,-0.346663220537893,0.343317765992439,0.313492789297733,0.233383503099862,0.0574650721911207,0.689980986530332,0.163,0.321,0.901,0.001,-0.0885519104296715,0.0925782382226414,-0.114678587653446,0.118704915446416,-0.0145879469163194,0.0186142747092893,-0.342977329368681,0.347003657161651,0.181130148652313,0.233383503099862,0.0332022216256087,0.689980986530332,0.157,0.052,0.917,0
"12",-0.157552524375074,0.154525497348047,-0.11767843730944,0.114651410282413,-0.0299872487515423,0.0269602217245153,-0.345010021297666,0.341982994270638,0.312078021723121,0.232329847591854,0.0569474704760576,0.686993015568304,0.163,0.333,0.901,0.001,-0.088037259903445,0.0922667116563001,-0.114050197919499,0.118279649672354,-0.0143360562716089,0.018565508024464,-0.341381781907724,0.345611233660579,0.180303971559745,0.232329847591854,0.0329015642960729,0.686993015568304,0.162,0.054,0.925,0
"13",-0.15675624726005,0.153934818688621,-0.117055881900499,0.114234453329071,-0.0296310711461827,0.0268096425747541,-0.343432891256334,0.340611462684905,0.310691065948671,0.23129033522957,0.0564407137209368,0.684044353941239,0.169,0.333,0.919,0.001,-0.0875173403447774,0.0919828930652432,-0.113412391254552,0.117877943975018,-0.0140713958498719,0.0185369485703377,-0.339789400610387,0.344254953330852,0.179500233410021,0.23129033522957,0.0326083444202096,0.684044353941239,0.165,0.056,0.93,0
"14",-0.155782302227346,0.153516815501683,-0.116265069569895,0.113999582844231,-0.029102082632412,0.0268365959067483,-0.341699814575193,0.339434327849529,0.309299117729029,0.230264652414126,0.0559386785391604,0.681134142424722,0.169,0.333,0.919,0.001,-0.0869736643986091,0.0917059369436415,-0.112766189934547,0.117498462479579,-0.0137915250463661,0.0185237975913984,-0.338200934939845,0.342933207484877,0.178679601342251,0.230264652414126,0.0323153226377645,0.681134142424722,0.169,0.058,0.938,0
"15",-0.155519127614652,0.152431408316407,-0.116170107247108,0.113082387948863,-0.0292688424948845,0.0261811231966389,-0.340674633614126,0.337586914315881,0.307950535931059,0.229252495195971,0.0554499656915235,0.678261547930007,0.177,0.34,0.931,0.001,-0.0867343009822962,0.0911895512256666,-0.1123986224763,0.116853872719671,-0.013790972590455,0.0182462228338254,-0.336903148843318,0.341358399086689,0.177923852207963,0.229252495195971,0.0320371954242804,0.678261547930007,0.171,0.058,0.944,0
"16",-0.154851457506005,0.151755805332092,-0.115674610535199,0.112578958361286,-0.0290315935562437,0.0259359413823306,-0.339260707331491,0.336165055157578,0.306607262838098,0.228253568896485,0.0549675349385743,0.675425762489068,0.177,0.34,0.931,0.001,-0.0862610352267728,0.0909015183278172,-0.11180654289772,0.116447025998765,-0.0135603164672133,0.0182007995682576,-0.335392639694012,0.340033122795056,0.17716255355459,0.228253568896485,0.031761116035471,0.675425762489068,0.175,0.061,0.947,0
"17",-0.153915217042551,0.15136349290462,-0.114909655942736,0.112357931804805,-0.0285223337505506,0.0259706096126196,-0.3375888632127,0.335037139074769,0.305278709947171,0.227267587747541,0.0544929433631702,0.672626002287469,0.184,0.348,0.94,0.001,-0.0859473840241275,0.0904654563678801,-0.111374757701894,0.115892830045647,-0.0134860102509176,0.0180040825946701,-0.334053964971858,0.338572037315611,0.176412840392008,0.227267587747541,0.0314900928455877,0.672626002287469,0.176,0.062,0.952,0
"18",-0.153145341966644,0.150820555641858,-0.114309530436421,0.111984744111634,-0.0281755088712053,0.0258507225464189,-0.33609314653359,0.333768360208804,0.303965897608502,0.226294274548055,0.0540262314176242,0.669861506742394,0.184,0.348,0.94,0.001,-0.0857673303641755,0.0899157707294411,-0.111072917091395,0.11522135745666,-0.0135385441941038,0.0176869845593695,-0.332856533188564,0.33700497355383,0.175683101093617,0.226294274548055,0.0312255287534733,0.669861506742394,0.179,0.063,0.958,0
"19",-0.152510231342876,0.150171248292029,-0.113836171693715,0.111497188642868,-0.0279542412194346,0.0256152581685871,-0.334735260337114,0.332396277286267,0.302681479634905,0.225333360336582,0.0535694993880217,0.667131537623381,0.191,0.357,0.949,0.001,-0.085429748520925,0.0894886047430564,-0.110637252057226,0.114696108279357,-0.0134493660150749,0.0175082222372063,-0.331536340700625,0.335595196922756,0.174918353263981,0.225333360336582,0.0309575882522812,0.667131537623381,0.18,0.065,0.961,0
"20",-0.152354615255767,0.149060497608708,-0.113839350863063,0.110545233216004,-0.0282074392250695,0.0249133215780107,-0.333864747930247,0.330570630283188,0.301415112864475,0.224384584079067,0.0531207608030802,0.664435378213435,0.191,0.357,0.949,0.001,-0.0848622602977526,0.0892931250146405,-0.10997685968109,0.114407724397978,-0.013130955680678,0.0175618203975658,-0.330002256748274,0.334433121465161,0.174155385312393,0.224384584079067,0.0306927760782438,0.664435378213435,0.184,0.066,0.965,0
